Fichier;Type;Cat;Average
Mojo - Album - 1998;ALBUM;YEAR;4,8
PopMatters - Album - 2009;ALBUM;YEAR;4,833
Pitchfork - Album - 2005;ALBUM;YEAR;4,84
Rolling Stone - Song - 1988;SONG;YEAR;4,85
PopMatters - Album - 2013;ALBUM;YEAR;4,893
NME - Album - 2001;ALBUM;YEAR;4,894
NME - Songs - 2003;SONG;YEAR;4,906
NME - Album - 2005;ALBUM;YEAR;4,913
Q - Album - 2000;ALBUM;YEAR;4,92
Paste - Album - 2015;ALBUM;YEAR;4,92
Pitchfork - Album - 1998;ALBUM;YEAR;4,94
Mojo - Album - 2015;ALBUM;YEAR;4,94
NME - Album - 2008;ALBUM;YEAR;4,953
Rolling Stone - Album - 2014;ALBUM;YEAR;4,96
Inrock - Soul;SONG;GENRE;4,963
Q - The Story Of Country Rock - 2006;ALBUM;GENRE;4,967
NME - Album - 2010;ALBUM;YEAR;4,979
Q - Album - 2015;ALBUM;YEAR;4,98
NME Album Of The Year - 2014;ALBUM;YEAR;4,98
PopMatters - Album - 2010;ALBUM;YEAR;4,986
MusicForAnts - Album - 2012;ALBUM;YEAR;5
Pitchfork - Song - 2004;SONG;YEAR;5
Spin - Song - 2008;SONG;YEAR;5,05
Spin - Album - 2009;ALBUM;YEAR;5,05
Pitchfork - Album - 2012;ALBUM;YEAR;5,059
NME - Songs - 2004;SONG;YEAR;5,059
Pitchfork - Album - 2006;ALBUM;YEAR;5,06
Le Choix - Funk - 2008;SONG;GENRE;5,069
Pitchfork - The Top 200 Tracks of the 1990s - 2010;SONG;DECADE;5,085
The Guardian - Album - 2008;ALBUM;YEAR;5,098
Q - Album - 2009;ALBUM;YEAR;5,1
Rolling Stone - Album - 2008;ALBUM;YEAR;5,1
Rolling Stone - Song - 1978;SONG;YEAR;5,1
Pitchfork - The 200 Best Songs of the 1970s - 2016;SONG;DECADE;5,105
Q - Album - 2005;ALBUM;YEAR;5,14
Q - Album - 2017;ALBUM;YEAR;5,14
Q - Psychedelic - 2005;ALBUM;GENRE;5,15
Spin - Album - 2015;ALBUM;YEAR;5,16
Pitchfork - Album - 2008;ALBUM;YEAR;5,16
The Guardian - A HISTORY OF MODERN MUSIC INDIE - 2011;SONG;ALL_TIME;5,19
NME - Album - 2007;ALBUM;YEAR;5,191
Q - 10 Live Albums You Must Own;ALBUM;ALL_TIME;5,2
NME - Album - 2011;ALBUM;YEAR;5,2
Q - Album - 2003;ALBUM;YEAR;5,2
Pitchfork - The Pitchfork 500 - 2000 to 2002 - 2006;SONG;MISCELLANEOUS;5,2
Classic Rock Magazine - Rock's 30 Greatest Concept Albums - 2003;ALBUM;GENRE;5,2
Rolling Stone - Song - 1989;SONG;YEAR;5,214
Q - 40 Cosmic Rock Albums (Prog Rock) - 2005;ALBUM;GENRE;5,225
